time_s,distance_m,altitude_m,vx_m_s,vy_m_s,velocity_m_s,rk4_ballistic_acceleration_m_s2,powered_acceleration_demand_m_s2,powered_g_load_earth_g
0.0,12933.01,-2790.0,-64.2744532803181,103.2225805168986,121.59813515449737,1.62,2.098918631131553,0.21403013578862845
0.2874285714285714,12914.535685714285,-2760.3977994416327,-64.2744532803181,102.75694623118432,121.20311606242761,1.62,2.13429256087854,0.2176372727566029
0.5748571428571428,12896.06137142857,-2730.929435480816,-64.2744532803181,102.29131194547003,120.80860004159163,1.62,2.1715509969491062,0.22143657588973872
0.8622857142857143,12877.587057142855,-2701.594908117551,-64.2744532803181,101.82567765975574,120.41459203664759,1.62,2.2107286400723734,0.2254315836776446
1.1497142857142857,12859.11274285714,-2672.3942173518367,-64.2744532803181,101.36004337404145,120.02109705077419,1.62,2.251854818745266,0.22962528679470218
1.437142857142857,12840.638428571425,-2643.3273631836732,-64.2744532803181,100.89440908832717,119.62812014642088,1.62,2.2949529477297546,0.23402007288215187
1.7245714285714286,12822.16411428571,-2614.394345613061,-64.2744532803181,100.42877480261288,119.2356664460669,1.62,2.340039988814926,0.238617671561127
2.012,12803.689799999995,-2585.59516464,-64.2744532803181,99.96314051689859,118.84374113298945,1.62,2.387125918411369,0.24341910014239002
2.2994285714285714,12785.21548571428,-2556.9298202644895,-64.2744532803181,99.4975062311843,118.45234945204065,1.62,2.436213206794673,0.24842461052394785
2.5868571428571427,12766.741171428564,-2528.3983124865304,-64.2744532803181,99.03187194547002,118.06149671043377,1.62,2.4872963140287614,0.25363363778953685
2.874285714285714,12748.26685714285,-2500.0006413061224,-64.2744532803181,98.56623765975573,117.67118827853844,1.62,2.540361207773168,0.2590447510386491
3.1617142857142855,12729.792542857134,-2471.736806723265,-64.2744532803181,98.10060337404144,117.28142959068492,1.62,2.5953849083065017,0.2646556069918374
3.4491428571428573,12711.31822857142,-2443.606808737959,-64.2744532803181,97.63496908832715,116.8922261459777,1.62,2.652335066176712,0.27046290692302793
3.7365714285714287,12692.843914285704,-2415.610647350204,-64.2744532803181,97.16933480261287,116.50358350911814,1.62,2.7111695779132257,0.2764623574730643
4.024,12674.369599999989,-2387.74832256,-64.2744532803181,96.70370051689858,116.11550731123644,1.62,2.7718362452030387,0.2826486358953403
4.311428571428571,12655.895285714274,-2360.019834367347,-64.2744532803181,96.23806623118429,115.72800325073274,1.62,2.834272482839217,0.28901536027483565
4.598857142857143,12637.420971428559,-2332.425182772245,-64.2744532803181,95.77243194547,115.34107709412756,1.62,2.8984050805936734,0.29555506524589675
4.886285714285714,12618.946657142844,-2304.964367774694,-64.2744532803181,95.30679765975572,114.95473467692148,1.62,2.9641500239447396,0.30225918371153654
5.1737142857142855,12600.472342857129,-2277.637389374694,-64.2744532803181,94.84116337404143,114.56898190446405,1.62,3.0314123783030325,0.3091180350377583
5.461142857142857,12581.998028571414,-2250.444247572245,-64.2744532803181,94.37552908832714,114.18382475283212,1.62,3.100086241026325,0.3161208201604345
5.748571428571428,12563.523714285699,-2223.384942367347,-64.2744532803181,93.90989480261285,113.79926926971721,1.62,3.170054765096292,0.3232556239996627
