X,Y,Distance,"""LRO LOLA DEM, 87.5 deg v4, S Pole""","""LRO LOLA DEM, 75 deg v4, S Pole""","""LRO LOLA DEM, 45 deg v4, S Pole""","""LRO LOLA DEM 128ppd, Endurance-A Site 007"""
1729.0911176824902,-10095.568633445222,5979.08,-319.5,-307.5,-345.5,
1783.5605667695972,-10060.112003969643,6044.07,-343.5,-350,-345.5,
1838.0300158567043,-10024.655374494067,6109.0599999999995,-390.5,-389.5,-380.5,
1892.4994649438113,-9989.19874501849,6174.049999999999,-400.5,-428,-419,
1946.9689140309183,-9953.742115542911,6239.039999999999,-445.5,-444,-469,
2001.4383631180253,-9918.285486067332,6304.03,-508,-503,-525,
2055.9078122051324,-9882.828856591756,6369.0199999999995,-553.5,-546.5,-551.5,
2110.3772612922394,-9847.372227116179,6434.009999999999,-591,-591,-596.5,
2164.8467103793464,-9811.9155976406,6498.999999999999,-622,-623,-596.5,
2219.3161594664534,-9776.458968165021,6563.99,-682.5,-661.5,-708.5,
2273.7856085535605,-9741.002338689445,6628.98,-725,-713,-708.5,
2328.2550576406675,-9705.545709213868,6693.969999999999,-741,-738,-759,
2382.7245067277745,-9670.089079738289,6758.959999999999,-781.5,-780,-770,
2437.1939558148815,-9634.63245026271,6823.95,-827,-818,-825.5,
2491.6634049019885,-9599.175820787133,6888.94,-860,-870,-846,
2546.1328539890956,-9563.719191311557,6953.929999999999,-896,-891.5,-897,
2600.6023030762026,-9528.262561835978,7018.919999999999,-928.5,-923,-951,
2655.0717521633096,-9492.8059323604,7083.91,-1020.5,-965,-983,
2709.5412012504166,-9457.349302884822,7148.9,-1061,-1071,-1061.5,
2764.0106503375237,-9421.892673409246,7213.889999999999,-1051.5,-1057,-1061.5,
2818.4800994246316,-9386.436043933667,7278.879999999999,-1094,-1092,-1116,
2872.9495485117386,-9350.979414458088,7343.869999999999,-1117,-1116.5,-1116,
2927.4189975988456,-9315.522784982511,7408.86,-1131,-1131.5,-1152.5,
2981.8884466859527,-9280.066155506935,7473.849999999999,-1198.5,-1204.5,-1189.5,
3036.3578957730597,-9244.609526031356,7538.839999999999,-1238,-1234,-1245.5,
3090.8273448601667,-9209.152896555777,7603.829999999999,-1325,-1307.5,-1245.5,
3145.2967939472737,-9173.6962670802,7668.82,-1358,-1344,-1341,
3199.7662430343808,-9138.239637604624,7733.8099999999995,-1355.5,-1357.5,-1341,
3254.235692121488,-9102.783008129045,7798.799999999999,-1408,-1398.5,-1378.5,
3308.705141208595,-9067.326378653466,7863.789999999999,-1429.5,-1432.5,-1465,
3363.174590295702,-9031.86974917789,7928.78,-1473,-1475,-1465,
3417.644039382809,-8996.413119702313,7993.7699999999995,-1507,-1503,-1542,
3472.113488469916,-8960.956490226734,8058.759999999999,-1552,-1551,-1542,
3526.582937557023,-8925.499860751155,8123.749999999999,-1587,-1587,-1592.5,
3581.05238664413,-8890.043231275578,8188.74,-1645.5,-1641,-1625.5,
3635.521835731237,-8854.586601800002,8253.73,-1646.5,-1647,-1656.5,
3689.991284818344,-8819.129972324423,8318.72,-1691.5,-1686,-1656.5,
3744.460733905451,-8783.673342848844,8383.71,-1723.5,-1721,-1736,
3798.930182992558,-8748.216713373267,8448.699999999999,-1759,-1759,-1736,
3853.399632079665,-8712.76008389769,8513.689999999999,-1810,-1798,-1791.5,
3907.869081166772,-8677.303454422112,8578.679999999998,-1816,-1817,-1836,
3962.338530253879,-8641.846824946533,8643.67,-1832,-1852.5,-1836,
4016.807979340986,-8606.390195470956,8708.66,-1914,-1905,-1899.5,
4071.277428428093,-8570.93356599538,8773.65,-1919,-1917,-1925,
4125.7468775152,-8535.4769365198,8838.64,-1954.5,-1948,-1969,
4180.216326602307,-8500.020307044222,8903.63,-1996.5,-1998,-1969,
4234.685775689414,-8464.563677568645,8968.619999999999,-2027.5,-2029.5,-2035,
4289.155224776521,-8429.107048093068,9033.609999999999,-2059.5,-2059,-2035,
4343.624673863628,-8393.65041861749,9098.599999999999,-2090,-2083,-2106,
4398.094122950735,-8358.193789141911,9163.59,-2138.5,-2125.5,-2106,
4452.563572037842,-8322.737159666334,9228.58,-2138,-2139,-2144.5,
4507.033021124949,-8287.280530190757,9293.57,-2168.5,-2172,-2203.5,
4561.502470212056,-8251.823900715179,9358.56,-2208.5,-2212.5,-2203.5,
4615.971919299164,-8216.3672712396,9423.55,-2238,-2239.5,-2239.5,
4670.441368386271,-8180.910641764023,9488.539999999999,-2254.5,-2254,-2252,
4724.910817473378,-8145.4540122884455,9553.529999999999,-2304.5,-2322.5,-2305,
4779.380266560485,-8109.997382812868,9618.519999999999,-2312,-2316,-2305,
4833.849715647592,-8074.54075333729,9683.509999999998,-2339,-2343,-2346,
4888.319164734699,-8039.084123861712,9748.5,-2366,-2361.5,-2346,
4942.788613821806,-8003.6274943861345,9813.49,-2387,-2385.5,-2383.5,
4997.2580629089125,-7968.170864910557,9878.48,-2413.5,-2406,-2392,
5051.72751199602,-7932.714235434979,9943.47,-2439,-2431.5,-2433,
5106.196961083127,-7897.257605959401,10008.46,-2448.5,-2443.5,-2459,
5160.6664101702345,-7861.800976483823,10073.449999999999,-2460,-2458.5,-2459,
5215.135859257341,-7826.344347008246,10138.439999999999,-2473.5,-2471,-2482.5,
5269.6053083444485,-7790.887717532668,10203.429999999998,-2486,-2487,-2482.5,
5324.074757431555,-7755.43108805709,10268.42,-2498,-2498.5,-2502.5,
5378.544206518663,-7719.974458581512,10333.41,-2503.5,-2509.5,-2502.5,
5433.013655605769,-7684.517829105935,10398.4,-2520.5,-2526,-2521.5,
5487.483104692877,-7649.061199630357,10463.39,-2533,-2523.5,-2521.5,
5541.952553779985,-7613.604570154779,10528.38,-2534.5,-2534,-2541.5,
5596.422002867091,-7578.147940679201,10593.369999999999,-2563.5,-2542.5,-2535,
5650.891451954199,-7542.691311203624,10658.359999999999,-2554.5,-2554.5,-2554,
5705.360901041305,-7507.234681728046,10723.349999999999,-2561,-2564,-2577,
5759.830350128413,-7471.778052252468,10788.339999999998,-2568,-2566.5,-2569.5,
5814.299799215519,-7436.32142277689,10853.33,-2585.5,-2583.5,-2591,
5868.769248302627,-7400.864793301313,10918.32,-2591,-2589,-2591,
5923.238697389733,-7365.408163825735,10983.31,-2598.5,-2599,-2604,
5977.708146476841,-7329.951534350157,11048.3,-2609.5,-2610,-2604,
6032.177595563947,-7294.494904874579,11113.289999999999,-2621.5,-2620.5,-2620.5,
6086.647044651055,-7259.038275399002,11178.279999999999,-2632.5,-2625.5,-2620.5,
6141.116493738161,-7223.581645923424,11243.269999999999,-2639.5,-2636,-2642.5,
6195.585942825269,-7188.125016447846,11308.259999999998,-2650.5,-2649,-2637,
6250.055391912375,-7152.668386972268,11373.25,-2657.5,-2658,-2656,
