time_s,distance_m,altitude_m,vx_m_s,vy_m_s,velocity_m_s,rk4_ballistic_acceleration_m_s2,powered_acceleration_demand_m_s2,powered_g_load_earth_g
0.0,12933.01,-2790.0,-50.069802555168415,80.83972241579559,95.08967266836306,1.62,2.098918631131553,0.21403013578862845
0.246,12920.69282857143,-2770.1624462457144,-50.069802555168415,80.44120241579559,94.75110645270875,1.62,2.125420992817407,0.21673262457795547
0.492,12908.375657142858,-2750.4229284114285,-50.069802555168415,80.04268241579558,94.41300829986015,1.62,2.152989834497982,0.2195438640614259
0.738,12896.058485714288,-2730.781446497143,-50.069802555168415,79.64416241579558,94.07538325633956,1.62,2.1816408409001324,0.2224654536360666
0.984,12883.741314285717,-2711.238000502857,-50.069802555168415,79.24564241579557,93.73823643426245,1.62,2.211388045483895,0.22549882431655
1.23,12871.424142857146,-2691.7925904285717,-50.069802555168415,78.84712241579557,93.40157301226249,1.62,2.242243698480496,0.2286452252788155
1.476,12859.106971428575,-2672.445216274286,-50.069802555168415,78.44860241579556,93.06539823642896,1.62,2.2742181347539945,0.23190571038570712
1.722,12846.789800000004,-2653.19587804,-50.069802555168415,78.05008241579556,92.72971742125621,1.62,2.3073196420872755,0.23528112475588256
1.968,12834.472628571433,-2634.0445757257144,-50.069802555168415,77.65156241579555,92.39453595060554,1.62,2.341554330522385,0.23877209144023545
2.214,12822.155457142862,-2614.9913093314285,-50.069802555168415,77.25304241579555,92.05985927867941,1.62,2.376926003412151,0.2423789982728201
2.46,12809.838285714291,-2596.036078857143,-50.069802555168415,76.85452241579554,91.725692931008,1.62,2.4134360308642924,0.24610198496574187
2.706,12797.52111428572,-2577.178884302857,-50.069802555168415,76.45600241579554,91.39204250544837,1.62,2.4510832262805384,0.24994093051965133
2.952,12785.20394285715,-2558.4197256685716,-50.069802555168415,76.05748241579553,91.05891367319619,1.62,2.4898637267113397,0.2538954410233199
3.198,12772.886771428579,-2539.758602954286,-50.069802555168415,75.65896241579553,90.72631217980984,1.62,2.5297708777612784,0.25796483791725805
3.444,12760.569600000008,-2521.1955161600004,-50.069802555168415,75.26044241579552,90.39424384624732,1.62,2.5707951237909734,0.2621481467974256
3.69,12748.252428571437,-2502.7304652857147,-50.069802555168415,74.86192241579552,90.06271456991587,1.62,2.612923904167924,0.2664440868357619
3.936,12735.935257142866,-2484.363450331429,-50.069802555168415,74.46340241579551,89.731730325734,1.62,2.65614155632106,0.2708510608945012
4.182,12723.618085714295,-2466.094471297143,-50.069802555168415,74.06488241579551,89.4012971672065,1.62,2.700429226351575,0.2753671464110145
4.428,12711.300914285725,-2447.9235281828574,-50.069802555168415,73.6663624157955,89.071421227512,1.62,2.7457647879456832,0.27999008712921164
4.6739999999999995,12698.983742857154,-2429.850620988572,-50.069802555168415,73.2678424157955,88.7421087206034,1.62,2.7921227703232105,0.2847172857523426
4.92,12686.666571428583,-2411.875749714286,-50.069802555168415,72.8693224157955,88.41336594232065,1.62,2.8394742959390804,0.28954579759031684
5.166,12674.349400000012,-2393.9989143600005,-50.069802555168415,72.47080241579549,88.08519927151677,1.62,2.8877870286328946,0.29447232527243195
5.412,12662.032228571441,-2376.220114925715,-50.069802555168415,72.07228241579548,87.75761517119602,1.62,2.9370251328947035,0.29949321459363837
5.6579999999999995,12649.71505714287,-2358.539351411429,-50.069802555168415,71.67376241579548,87.43062018966494,1.62,2.9871492448828114,0.30460445155917787
5.904,12637.3978857143,-2340.9566238171433,-50.069802555168415,71.27524241579547,87.10422096169599,1.62,3.0381164557919638,0.3098016606886107
6.15,12625.080714285728,-2323.4719321428574,-50.069802555168415,70.87672241579547,86.7784242097036,1.62,3.0898803081276602,0.3150801046359012
6.396,12612.763542857158,-2306.085276388572,-50.069802555168415,70.47820241579547,86.45323674493272,1.62,3.1423908053946867,0.3204346851773732
6.6419999999999995,12600.446371428587,-2288.796656554286,-50.069802555168415,70.07968241579546,86.12866546865975,1.62,3.195594435655339,0.32585994561398024
6.888,12588.129200000016,-2271.6060726400005,-50.069802555168415,69.68116241579546,85.80471737340561,1.62,3.2494342093555364,0.33135007462849564
7.134,12575.812028571445,-2254.513524645715,-50.069802555168415,69.28264241579545,85.48139954416123,1.62,3.3038497117551255,0.33689891163191565
7.38,12563.494857142874,-2237.5190125714294,-50.069802555168415,68.88412241579545,85.15871915962477,1.62,3.358777170232615,0.34249995362663244
7.6259999999999994,12551.177685714303,-2220.6225364171437,-50.069802555168415,68.48560241579544,84.83668349345085,1.62,3.414149536664471,0.3481463636067843
7.872,12538.860514285732,-2203.824096182858,-50.069802555168415,68.08708241579544,84.51529991551156,1.62,3.46989658500547,0.3538309805086824
8.118,12526.543342857161,-2187.123691868572,-50.069802555168415,67.68856241579543,84.19457589316893,1.62,3.5259450241196495,0.3595463307163659
8.364,12514.22617142859,-2170.5213234742864,-50.069802555168415,67.29004241579543,83.87451899255875,1.62,3.582218625831719,0.3652846411192119
8.61,12501.90900000002,-2154.016991000001,-50.069802555168415,66.89152241579542,83.55513687988555,1.62,3.638638368086696,0.37103785371015546
8.856,12489.591828571449,-2137.610694445715,-50.069802555168415,66.49300241579542,83.23643732272859,1.62,3.6951225930216074,0.3767976417045176
9.102,12477.274657142878,-2121.3024338114296,-50.069802555168415,66.09448241579541,82.91842819135827,1.62,3.7515871796677915,0.3825554271507387
9.347999999999999,12464.957485714307,-2105.092209097144,-50.069802555168415,65.6959624157954,82.60111746006316,1.62,3.8079457309162743,0.3883023999955412
9.594,12452.640314285736,-2088.980020302858,-50.069802555168415,65.2974424157954,82.28451320848696,1.62,3.864109774292347,0.39402953855723893
9.84,12440.323142857165,-2072.9658674285724,-50.069802555168415,64.8989224157954,81.96862362297527,1.62,3.919988975999478,0.3997276313521415
10.086,12428.005971428594,-2057.0497504742866,-50.069802555168415,64.50040241579539,81.65345699793177,1.62,3.97549136760769,0.40538730021033587
10.332,12415.688800000024,-2041.231669440001,-50.069802555168415,64.10188241579539,81.33902173718349,1.62,4.030523584677991,0.41099902460860654
10.578,12403.371628571453,-2025.5116243257153,-50.069802555168415,63.70336241579539,81.02532635535461,1.62,4.084991116533168,0.41655316713996804
